,random,X,CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,Event.Clearance.Date,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
29202,0.320243005,1135586,2022850,17000215000,2017215000,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,6/15/2017 11:30,40XX BLOCK OF 19 AV SW,F,F1,9900.2005,-122.35805,47.567467,"(47.567467, -122.35805)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,6/15/2017 10:14
21464,0.7543982,41500,58111,10000307787,2010307787,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,9/2/2010 20:47,42XX BLOCK OF LEARY WAY NW,J,J2,4800.3013,-122.3643502,47.65856735,"(47.65856735, -122.364350232)",,,,
47666,0.039312413,524912,2212510,18000071924,201871924,53,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,2/27/2018 18:54,47XX BLOCK OF 21 AV NE,U,U1,4302.1007,-122.30545,47.663994,"(47.663994, -122.30545)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,2/27/2018 11:42
8459,0.502059958,702383,1735003,16000164650,2016164650,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,5/11/2016 19:35,ELLIOTT AV W / 6 AV W,Q,Q3,7100.1005,-122.364555,47.623688,"(47.623688, -122.364555)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,5/11/2016 17:57
42974,0.6136479,80026,97565,10000365687,2010365687,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,10/19/2010 14:28,28XX BLOCK OF 10TH AVE E,C,C1,6100.2004,-122.3195886,47.64626869,"(47.646268693, -122.319588642)",,,,
14244,0.80098818,868188,1940487,17000061138,201761138,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,2/19/2017 2:31,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
38537,0.290384211,578972,976729,12000409958,2012409958,160,PROWLER,PROWLER,PROWLER,12/1/2012 1:35,9XX BLOCK OF N 87TH ST,N,N2,1800.2006,-122.3458792,47.69201584,"(47.692015838, -122.345879172)",,,,
38785,0.434896438,907535,1549175,15000321205,2015321205,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,9/13/2015 3:49,61XX BLOCK OF 12 AV S,O,O3,10900.2084,-122.3173194,47.54825235,"(47.548252353, -122.317319382)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
15253,0.477511964,870693,1828657,16000325549,2016325549,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,9/8/2016 8:30,22XX BLOCK OF NW 63 ST,B,B1,3300.4007,-122.38616,47.67456,"(47.67456, -122.38616)",TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,9/8/2016 8:00
48059,0.89457134,51486,68311,10000322700,2010322700,53,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,9/14/2010 19:10,8XX BLOCK OF VIRGINIA ST,D,D2,7300.3022,-122.3361655,47.6160533,"(47.616053297, -122.336165513)",,,,
11113,0.59981887,613533,1242147,12000442548,2012442548,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,12/28/2012 20:40,2XX BLOCK OF LENORA ST,M,M2,8002.1002,-122.3426227,47.61283437,"(47.612834368, -122.342622658)",,,,
20381,0.863464163,1134285,1953692,17000087299,201787299,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/11/2017 19:46,115XX BLOCK OF 3 AV NW,N,N1,402.3009,-122.36088,47.713272,"(47.713272, -122.36088)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,3/11/2017 18:34
43587,0.699441885,326397,681096,11000387430,2011387430,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,12/1/2011 21:50,UTAH AV S / S FOREST ST,O,O2,9300.2049,-122.3351293,47.57772678,"(47.57772678, -122.335129312)",,,,
45887,0.60108055,764475,1912953,17000009325,20179325,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,1/8/2017 12:51,DELRIDGE WY SW / SW JUNEAU ST,F,F1,10701.1008,-122.363014,47.550106,"(47.550106, -122.363014)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
40644,0.306204487,1431650,2070537,17000301287,2017301287,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,8/15/2017 10:01,W MERCER ST / 5 AV W,Q,Q3,7100.1002,-122.36324,47.624607,"(47.624607, -122.36324)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,8/15/2017 8:47
27918,0.346509645,648461,1285134,13000014849,201314849,62,BICYCLE THEFT,THEFT,BIKE,1/13/2013 19:39,9XX BLOCK OF NW 45TH ST,J,J2,4700.2037,-122.3696925,47.66146818,"(47.661468179, -122.369692501)",,,,
23885,0.891021431,356529,713249,12000017400,201217400,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,1/18/2012 19:32,36XX BLOCK OF 13TH AVE W,Q,Q2,5900.1015,-122.373597,47.6530852,"(47.6530852, -122.373596954)",,,,
46015,0.52320061,878435,1495547,15000255731,2015255731,64,SHOPLIFT,THEFT,SHOPLIFTING,7/25/2015 15:15,132XX BLOCK OF AURORA AV N,N,N2,401.1009,-122.3449968,47.72503555,"(47.725035551, -122.344996832)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
1295,0.054252137,743426,1744162,16000177918,2016177918,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,5/21/2016 11:41,6 AV / BELL ST,D,D2,7200.2015,-122.34222,47.616695,"(47.616695, -122.34222)","LEWD - (EXPOSING, FLASHING, URINATING IN PUB)",LEWD CONDUCT,SUSPICIOUS CIRCUMSTANCES,
3314,0.99212584,1113278,2129132,17000409470,2017409470,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,11/4/2017 11:47,106XX BLOCK OF 17 AV NE,L,L2,1100.2003,-122.309875,47.70606,"(47.70606, -122.309875)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,11/4/2017 10:11
14983,0.090003602,931745,1620950,15000416701,2015416701,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,11/30/2015 18:11,79XX BLOCK OF DELRIDGE WY SW,F,F2,11400.1003,-122.36044,47.530975,"(47.530975, -122.36044)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,11/30/2015 16:57
40448,0.181923154,1205991,1843722,16000351929,2016351929,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,9/28/2016 12:31,65XX BLOCK OF 30 AV S,S,S1,11002.2004,-122.29386,47.54411,"(47.54411, -122.29386)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,9/28/2016 11:48
36043,0.694883516,126872,145967,10000444065,2010444065,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,12/27/2010 17:58,105XX BLOCK OF MIDVALE AVE N,N,N2,1300.4001,-122.3433447,47.70596341,"(47.705963408, -122.343344668)",,,,
14666,0.811042452,1369582,1094708,15000162102,2015162102,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,5/17/2015 17:15,11XX BLOCK OF E SPRUCE ST,G,G1,8600.3014,-122.3174422,47.60351535,"(47.603515348, -122.31744218)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,5/17/2015 15:22
21720,0.677401625,1216382,2012359,17000196022,2017196022,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,6/1/2017 22:48,107XX BLOCK OF 63 AV S,S,S3,11900.3016,-122.253296,47.503822,"(47.503822, -122.253296)",TRU - THEFT,OTHER PROPERTY,THEFT,6/1/2017 22:04
37508,0.286689751,248467,543968,11000122168,2011122168,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,4/17/2011 1:32,29XX BLOCK OF 1ST AVE S,O,O2,9300.3038,-122.3342025,47.57665156,"(47.576651555, -122.334202473)",,,,
34477,0.430432251,777107,1517309,15000282246,2015282246,65,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,8/14/2015 12:15,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.3234439,47.60412808,"(47.604128076, -122.323443935)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,8/14/2015 10:08
33389,0.098382998,909534,1550659,15000322875,2015322875,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,9/14/2015 18:10,142XX BLOCK OF LINDEN AV N,N,N2,401.1006,-122.3477718,47.73167697,"(47.731676965, -122.347771827)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
33025,0.44469507,1205474,2121991,17000395457,2017395457,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,10/24/2017 20:14,3XX BLOCK OF S JACKSON ST,K,K2,9300.2004,-122.32998,47.599197,"(47.599197, -122.32998)",DETOX - PICKUP (FIRE / POLICE STANDING BY),LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
46035,0.417729184,711162,1786813,16000253812,2016253812,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,7/15/2016 21:39,NE 98 ST / 32 AV NE,L,L3,2100.1004,-122.29339,47.70022,"(47.70022, -122.29339)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,7/15/2016 19:41
14960,0.478686858,1382038,1108639,15000182474,2015182474,161,TRESPASS,TRESPASS,TRESPASS,6/2/2015 2:25,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.3234439,47.60412808,"(47.604128076, -122.323443935)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
12764,0.453395117,45229,61919,10000313501,2010313501,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,9/7/2010 14:23,1XX BLOCK OF PINE ST,M,M2,8100.2004,-122.3403673,47.61004628,"(47.610046277, -122.340367253)",,,,
28353,0.385143886,1161183,1873789,16000405401,2016405401,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,11/9/2016 2:47,16XX BLOCK OF 4 AV,M,M2,8100.2001,-122.337845,47.612057,"(47.612057, -122.337845)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,11/9/2016 2:03
36828,0.220017835,1399765,1128346,15000210772,2015210772,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,6/22/2015 15:35,5XX BLOCK OF 14 AV E,C,C1,7500.1001,-122.3146446,47.62368428,"(47.623684283, -122.314644631)",ABANDONED VEHICLE,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
31341,0.502279438,589049,1713415,16000127059,2016127059,52,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,4/13/2016 13:57,56XX BLOCK OF 24 AV NW,B,B1,4700.5006,-122.38759,47.669823,"(47.669823, -122.38759)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,4/13/2016 12:01
38770,0.499081005,811369,1637581,15000445087,2015445087,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/25/2015 9:28,143XX BLOCK OF GREENWOOD AV N,N,N1,401.1004,-122.35557,47.73276,"(47.73276, -122.35557)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
23186,0.467568766,177151,427005,11000280947,2011280947,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,8/26/2011 16:11,15XX BLOCK OF EASTLAKE AVE E,D,D2,6600.2007,-122.3258291,47.63305755,"(47.633057549, -122.32582906)",,,,
25427,0.521676946,839011,2201584,18000050985,201850985,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2/10/2018 12:41,83XX BLOCK OF 25 AV NW,J,J2,3100.2,-122.38873,47.689793,"(47.689793, -122.38873)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,2/10/2018 12:10
23242,0.152449535,39352,55909,10000304811,2010304811,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,8/31/2010 16:57,45XX BLOCK OF 15TH AVE NE,U,U3,5301.1005,-122.3119795,47.6621728,"(47.6621728, -122.311979502)",,,,
40389,0.202195767,1011006,932714,12000353986,2012353986,220,MENTAL COMPLAINT,MENTAL CALL,MENTAL HEALTH,10/15/2012 23:15,5XX BLOCK OF 21ST AVE,G,G1,8700.1012,-122.3050296,47.60666715,"(47.606667153, -122.305029635)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/15/2012 22:19
8608,0.635498121,284581,616824,11000175545,2011175545,125,PROSTITUTION,VICE CALLS,PROSTITUTION,6/2/2011 9:56,N 125 ST / AURORA AV N,N,N1,402.2003,-122.3449408,47.71957009,"(47.719570093, -122.344940802)",,,,
5791,0.824290188,268227,567397,11000149551,2011149551,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,5/10/2011 23:06,8 AV SW / SW CAMBRIDGE ST,F,F3,11300.1017,-122.3454346,47.51913307,"(47.519133071, -122.345434596)",,,,
28103,0.87901635,375058,733260,12000047007,201247007,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,2/16/2012 3:54,20XX BLOCK OF SW ANDOVER ST,F,F1,9900.2002,-122.3593312,47.56834296,"(47.568342962, -122.359331191)",,,,
61,0.985111315,889829,1837690,16000341403,2016341403,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/20/2016 13:36,28XX BLOCK OF 15 AV W,Q,Q2,5802.2,-122.375786,47.64493,"(47.64493, -122.375786)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
16716,0.327432262,605485,1762300,16000212763,2016212763,188,MARIJUANA PUBLIC USE (NOT DISPENSARY),NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,6/15/2016 13:06,19XX BLOCK OF WESTERN AV,M,M1,8100.3011,-122.34288,47.609814,"(47.609814, -122.34288)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,
34803,0.771817317,135984,383752,11000217290,2011217290,62,BICYCLE THEFT,THEFT,BIKE,7/5/2011 19:10,E DENNY WY / HARVARD AV,E,E1,7400.3004,-122.3221877,47.61873087,"(47.618730872, -122.322187739)",,,,
40490,0.928782157,656402,1295743,13000028133,201328133,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,1/25/2013 9:47,45XX BLOCK OF SUNNYSIDE AVE N,J,J3,5100.1005,-122.3301573,47.66199287,"(47.661992872, -122.330157293)",,,,
22205,0.191779793,31597,47997,10000293551,2010293551,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,8/22/2010 14:16,3XX BLOCK OF 4TH AVE S,K,K2,9200.1006,-122.3289663,47.59961645,"(47.599616454, -122.328966303)",,,,
12792,0.132837391,386814,745714,12000065776,201265776,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,3/3/2012 21:11,32XX BLOCK OF 61ST AVE SW,W,W1,9701.2006,-122.410767,47.5750034,"(47.575003404, -122.410767036)",,,,
20753,0.851150153,872762,1487482,15000245891,2015245891,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,7/18/2015 4:43,14XX BLOCK OF MINOR AV,E,E3,8300.2015,-122.3273595,47.61343736,"(47.613437355, -122.327359481)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
15884,0.329800151,994869,891608,12000296301,2012296301,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/3/2012 19:27,6XX BLOCK OF WARD ST,D,D1,6700.302,-122.34424,47.628022,"(47.628022002, -122.344240033)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/3/2012 19:17
26996,0.200194667,145127,393342,11000231745,2011231745,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,7/17/2011 21:07,34 AV NW / NW 54 ST,B,B2,3200.3015,-122.4006537,47.66759641,"(47.667596409, -122.400653662)",,,,
31404,0.07837272,665850,1308320,13000043517,201343517,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,2/7/2013 15:07,22XX BLOCK OF 5TH AVE,M,M2,7200.1055,-122.3424249,47.61564896,"(47.615648963, -122.34242492)",,,,
22892,0.171225945,766511,1746520,16000185145,2016185145,171,PARKS EXCLUSION,PARKS EXCLUSIONS,MISCELLANEOUS MISDEMEANORS,5/26/2016 15:49,16XX BLOCK OF 11 AV,E,E2,7500.5009,-122.31817,47.615837,"(47.615837, -122.31817)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
16230,0.418245865,418552,779519,12000117989,2012117989,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,4/18/2012 10:30,12 AV E / E JOHN ST,C,C2,7500.5007,-122.3169297,47.61993473,"(47.619934726, -122.316929688)",,,,
30864,0.141093517,1201496,2132351,17000414571,2017414571,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,11/8/2017 15:05,124XX BLOCK OF 5 AV NE,L,L1,600.5006,-122.32358,47.719116,"(47.719116, -122.32358)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,11/8/2017 13:09
21928,0.953104728,1048128,1238026,11000045159,201145159,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2/7/2011 13:42,7XX BLOCK OF 4TH AVE S,K,K2,9300.2,-122.3289963,47.59701077,"(47.597010766, -122.328996296)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,2/7/2011 13:40
40611,0.524558704,1259238,1977700,17000132196,2017132196,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,4/15/2017 21:26,25XX BLOCK OF BEACON AV S,R,R1,10002.2023,-122.31361,47.580807,"(47.580807, -122.31361)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
38131,0.295640068,200980,451881,11000317543,2011317543,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,9/26/2011 15:06,LAKE CITY WY NE / NE 102 ST,L,L2,1100.201,-122.3019149,47.70207093,"(47.702070933, -122.301914869)",,,,
16868,0.177211469,1429938,2124261,17000399540,2017399540,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/27/2017 20:21,2XX BLOCK OF 8 AV N,D,D2,7200.1043,-122.34108,47.6203,"(47.6203, -122.34108)",UNKNOWN - COMPLAINT OF UNKNOWN NATURE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,10/27/2017 19:33
44543,0.21338527,142824,390935,11000227955,2011227955,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,7/14/2011 13:27,12XX BLOCK OF S KING ST,E,E3,9000.3018,-122.3045119,47.59832555,"(47.598325553, -122.304511913)",,,,
34322,0.605511389,715721,1787146,16000254648,2016254648,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,7/16/2016 7:34,WALLINGFORD AV N / N 45 ST,B,B3,5100.1023,-122.336296,47.661385,"(47.661385, -122.336296)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,7/16/2016 5:35
18627,0.484929531,1011348,933804,12000355279,2012355279,,,,,,11XX BLOCK OF 14TH AVE S,O,O1,9400.5004,-122.3148331,47.59222522,"(47.592225219, -122.314833065)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,10/16/2012 22:48
41270,0.082736276,300882,642835,15000042519,201542519,,,,,,36XX BLOCK OF CALIFORNIA AV SW,W,W1,9800.5012,-122.3867655,47.57163777,"(47.571637772, -122.386765456)",AUTO RECOVERY,AUTO THEFTS,AUTO RECOVERIES,2/6/2015 16:10
27581,0.606691974,1109632,2166514,17000475826,2017475826,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,12/28/2017 12:33,NW 49 ST / 2 AV NW,B,B2,4800.1019,-122.35884,47.6643,"(47.6643, -122.35884)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,
4607,0.878647944,969053,1609385,15000396626,2015396626,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,11/13/2015 12:49,11XX BLOCK OF N 93 ST,N,N3,1800.3,-122.34325,47.696354,"(47.696354, -122.34325)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,
25217,0.612363721,235372,492960,11000097382,201197382,430,ACCIDENT INVESTIGATION,TRAFFIC RELATED CALLS,ACCIDENT INVESTIGATION,3/26/2011 3:51,CALIFORNIA AV SW / SW ADMIRAL WY,W,W1,9600.2014,-122.3865472,47.58119304,"(47.581193043, -122.386547154)",,,,
41972,0.000276878,816094,1860530,16000381873,2016381873,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,10/22/2016 0:25,130XX BLOCK OF GREENWOOD AV N,N,N1,402.1005,-122.35599,47.72426,"(47.72426, -122.35599)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,10/21/2016 21:16
45023,0.912237317,1138447,2129138,17000409460,2017409460,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,11/4/2017 10:12,3XX BLOCK OF SENECA ST,K,K1,8100.2032,-122.33477,47.607285,"(47.607285, -122.33477)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,
31297,0.993862736,860230,1926132,17000034182,201734182,244,NOISE DISTURBANCE,DISTURBANCES,DISTURBANCES,1/28/2017 11:20,12 AV S / S MAIN ST,G,G1,9100.1004,-122.31723,47.600014,"(47.600014, -122.31723)",FIREWORKS - NUISANCE (NO HAZARD),MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,
15337,0.758720838,1297947,658173,12000260157,2012260157,260,"ANIMALS - INJURED, DEAD, DANGEROUS",ANIMAL COMPLAINTS,ANIMAL COMPLAINTS,8/7/2012 20:56,12XX BLOCK OF NW 65TH ST,J,J2,3300.1012,-122.3727629,47.67595852,"(47.675958521, -122.372762904)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
44887,0.686497667,1077833,2007873,17000187757,2017187757,52,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,5/27/2017 4:16,89XX BLOCK OF 14 AV S,F,F3,11200.3014,-122.314964,47.523468,"(47.523468, -122.314964)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,
9290,0.001547716,277158,592651,11000164666,2011164666,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF ",5/24/2011 0:12,10XX BLOCK OF 1ST AVE,M,M3,8100.1034,-122.3552934,47.61853483,"(47.618534826, -122.355293423)",,,,
29833,0.150411222,467964,832571,12000198287,2012198287,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,6/24/2012 2:28,DELRIDGE WY SW / SW ORCHARD ST,F,F1,10700.1013,-122.3610924,47.53795326,"(47.537953255, -122.36109241)",,,,
21365,0.159127926,476730,841901,12000218125,2012218125,50,"BURGLARY - RESIDENTIAL, UNOCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,7/8/2012 22:42,13XX BLOCK OF N 48TH ST,J,J3,5000.4014,-122.3416364,47.66357839,"(47.663578394, -122.341636445)",,,,
20976,0.454542451,961176,1601469,15000385787,2015385787,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,11/4/2015 2:56,11XX BLOCK OF 8 AV,E,E3,8200.2,-122.32945,47.60901496,"(47.609014956, -122.329450042)",BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURGLARY,RESIDENTIAL BURGLARIES,
